Date,Slot,Station,Location,Type,Volume (seconds),Volume (minutes),Product,Brand,Industry,Market,,Slot Categories
2025-03-03,Night,Radio Mirchi,Pune,advertisement,55,0.9166666667,Tax Advisory Services,Government of India,Government,Public Services and Financial Regulation,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,55,0.9166666667,Tax Advisory Services,Government of India,Government,Public Services and Financial Regulation,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,55,0.9166666667,Tax Services,Income tax department,Government,Public Services,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,120,2,The Real Estate Mall Property Solutions,The Real Estate Mall,Real Estate,Housing and Commercial Properties,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,146,2.433333333,The Real Estate Mall Property Solutions,The Real Estate Mall,Real Estate,Housing and Commercial Properties,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,106,1.766666667,The Real Estate Mall Property Solutions,The Real Estate Mall,Real Estate,Housing and Commercial Properties,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,92,1.533333333,Tunwal E Motors,Tunwal E Motors,Automotive,Automobile-2wheelers,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,60,1,Tunwal E Motors,Tunwal E Motors,Automotive,Automobile-2wheelers,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,60,1,Tunwal E Motors,Tunwal E Motors,Automotive,Automobile-2wheelers,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,30,0.5,Tyres,Apollo tyres,Automotive,Automotive - Vehicle Components,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,60,1,Tyres,Apollo tyres,Automotive,Automotive - Vehicle Components,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,45,0.75,Tyres,Apollo tyres,Automotive,Automotive - Vehicle Components,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,140,2.333333333,Union Bank,Union Bank,Banking,Finance,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,60,1,Union Bank,Union Bank,Banking,Finance,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,105,1.75,VI Superhero Recharge Plans,Vodafone Idea (VI),Telecommunications,Telecommunications - Mobile services,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,135,2.25,VI Superhero Recharge Plans,Vodafone Idea (VI),Telecommunications,Telecommunications - Mobile services,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,177,2.95,VI Superhero Recharge Plans,Vodafone Idea (VI),Telecommunications,Telecommunications - Mobile services,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,120,2,Volkswagen Taigun,Volkswagen,Automotive,Automotive - Car,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,15,0.25,Warana Shrikhand,Warana,FMCG,FMCG - Food & Beverages,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,29,0.4833333333,Warana Shrikhand,Warana,FMCG,FMCG - Food & Beverages,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,426,7.1,Yo Yo Honey Singh Millionaire Concert,Yo Yo Honey Singh Millionaire Tour,Entertainment,Miscellaneous,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,147,2.45,Acko Insurance,Acko Insurance,Insurance,Finance - Insurance,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,160,2.666666667,Acko Insurance,Acko Insurance,Insurance,Finance - Insurance,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,159,2.65,Acko Insurance,Acko Insurance,Insurance,Finance - Insurance,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,120,2,Ar Mirdor,AR Realty,Real Estate,Property-Housing,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,190,3.166666667,Ar Mirdor,AR Realty,Real Estate,Property-Housing,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,150,2.5,Ar Mirdor,AR Realty,Real Estate,Property-Housing,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,41,0.6833333333,Chhetinad Cement Cement,Chhetinad Cement,Construction,Building Material,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,30,0.5,Chhetinad Cement Cement,Chhetinad Cement,Construction,Building Material,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,96,1.6,Chhetinad Cement Cement,Chhetinad Cement,Construction,Building Material,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,15,0.25,Chiki Chiki Booboom Boom Movie,Chiki Chiki Booboom Boom,Entertainment,Movies,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,35,0.5833333333,Chiki Chiki Booboom Boom Movie,Chiki Chiki Booboom Boom,Entertainment,Movies,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,75,1.25,Chiki Chiki Booboom Boom Movie,Chiki Chiki Booboom Boom,Entertainment,Movies,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,20,0.3333333333,Naina,Diplomat,Entertainment,Movie Release,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,20,0.3333333333,Swach Sarvekshan,Swach Sarvekshan 2024,Public Works,Public Service Ads,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,30,0.5,Swach Sarvekshan,Swach Sarvekshan 2024,Public Works,Public Service Ads,,
